Question Number,model-question,Question Text,model-answer,Answer Text,Relevance (0-10),Picture URL,Associated Note #1,Associated Note #2,Associated Note #3,Associated Note #4,Associated Note #5,Dissociated Note #1,Dissociated Note #2,Dissociated Note #3,Dissociated Note #4,Dissociated Note #5,"Recommendation of notes types (eg. citric)
( by Fragrantica classifcation)","Recommendation of notes (eg. lemongrass)
(by Fragrantica classification)",Recommendation of Perfumes
1,intention,What is your relationship with the person who will wear the perfume?,Professional,Professional,,http://ftp.inkermanscreening.com/wp-content/uploads/2014/04/bigstock-Group-of-happy-young-business-38908093.jpg,ORIENTAL,CITRIC,HERBACIOUS,AQUATIC,LEATHER,ORIENTAL,SPICY,AMBER,RESINOUS,,,,
,,,Family,Family,,http://www.lgrc.us/wp-content/uploads/2014/04/family-silhouette1.png,CITRIC,GREEN,WOODY,ALDEHYDE,FLORAL,AMBER,BALSAMIC,MINERAL,ORIENTAL,SPICY,,,
,,,Romantic,Romantic,,http://www.vamshare.com/wp-content/uploads/2014/06/holding-hands.jpg,SPICY,MUSK,BALSAMIC,GOURMANDY,WOODY,CITRIC,HERBACIOUS,GREEN,AQUATIC,LEATHER,,,
,,,Friends,Friends,,http://sev.h-cdn.co/assets/cm/15/09/54ed4594b428e_-_sev-cute-guys-friends-061610-lgn.jpg,,,,,,,,,,,,,
,,,Self-male,It's for me,,http://images.inc.com/uploaded_files/image/1940x900/businessman-looking-in-mirror-pan_12170.jpg,,,,,,,,,,,,,
2,price,What is the aproximate budget of the perfume you are looking for?,100,100 RON,11,,,,,,,,,,,,,,
,,,200,200 RON,11,,,,,,,,,,,,,,
,,,400,400 RON,11,,,,,,,,,,,,,,
,,,800,800 RON,11,,,,,,,,,,,,,,
,,,1000,1000 RON or higher,11,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,age-group,Age?,,15-20,10,,CITRIC,FRUITY,WOODY,GREEN,AQUATIC,SPICY,ORIENTAL,ANIMALIC,MUSK,RESINOUS,,,
,,,,20-25,,,CITRIC,AQUATIC,RESINOUS,HERBACIOUS,EARTHY,ORIENTAL,SPICY,WOODY,FLORAL,SMOKY,,,
,,,,25-35,,,WOODY,EARTHY,CITRIC,MUSK,GREEN,FLORAL,POWDERY,ALDEHYDE,TEA,HERBACIOUS,,,
