Question Number,model-question,Question Text,model-answer,Answer Text,Relevance (0-10),Picture URL,Associated Note #1,Associated Note #2,Associated Note #3,Associated Note #4,Associated Note #5,Dissociated Note #1,Dissociated Note #2,Dissociated Note #3,Dissociated Note #4,Dissociated Note #5,"Recommendation of notes types (eg. citric)
( by Fragrantica classifcation)","Recommendation of notes (eg. lemongrass)
(by Fragrantica classification)",Recommendation of Perfumes
1,intention,Care e relația ta cu persoana care va purta parfumul?,Romantic,romantică,6,http://www.vamshare.com/wp-content/uploads/2014/06/holding-hands.jpg,ORIENTAL,AMBER,SPICY,FLORAL,MUSK,CITRIC,POWDERY,FRUITY,ALDEHYDE,AQUATIC,,,
,,,Professional,Profesională,,http://ftp.inkermanscreening.com/wp-content/uploads/2014/04/bigstock-Group-of-happy-young-business-38908093.jpg,WOODY,FRUITY,HERBACIOUS,BALSAMIC,LEATHER,FLORAL,CITRIC,GREEN,ALDEHYDE,TEXTILE,,,
,,,Family,Familială,,http://www.lgrc.us/wp-content/uploads/2014/04/family-silhouette1.png,FLORAL,FRUITY,AQUATIC,POWDERY,GOURMANDY,ORIENTAL,SPICY,MUSK,WOODY,LEATHER,,,
,,,Friends,Amiciție,,http://s3.favim.com/orig/39/friends-friendship-girls-happiness-Favim.com-329086.jpg,,,,,,,,,,,,,
,,,Self,E pentru mine,,http://locationpool.co/wp-content/uploads/2016/04/looking-in-mirror-facebook.jpg,,,,,,,,,,,,,
2,price,Care e bugetul aproximativ pentru parfumul căutat?,100,100 RON,11,,,,,,,,,,,,,,
,,,200,200 RON,11,,,,,,,,,,,,,,
,,,400,400 RON,11,,,,,,,,,,,,,,
,,,800,800 RON,11,,,,,,,,,,,,,,
,,,1000,1000 RON sau mai mult,11,,,,,,,,,,,,,,
3,skin-complexion,Nuanţa pielii?,Dark,Închis,10,?,ORIENTAL,SPICY,LEATHER,ALDEHYDE,AMBER,GREEN,HERBACIOUS,AQUATIC,POWDERY,CITRIC,,,
,,,Average,Mediu,,?,CITRIC,AQUATIC,WOODY,FRUITY,GOURMANDY,MUSK,SPICY,SMOKY,MINERAL,AMBER,,,
,,,Light,Deschis,,?,FLORAL,POWDERY,FRUITY,ALDEHYDE,GREEN,ORIENTAL,SPICY,WOODY,LEATHER,AMBER,,,
,,,,,,,,,,,,,,,,,,,
4,hair-color,Culoarea naturală a părului ?,Brunette-Dark,Brunet,10,http://blog.vpfashion.com/wp-content/themes/blanco/images/color_select/off_black.jpg,SPICY,ORIENTAL,WOODY,BALSAMIC,AMBER,AQUATIC,GREEN,HERBACIOUS,CITRIC,ALDEHYDE,,,
,,,Brunette-Light,Șaten,,http://blog.vpfashion.com/wp-content/themes/blanco/images/color_select/30A_Light_Cool_Brown.jpg,MUSK,WOODY,SPICY,ORIENTAL,GOURMANDY,FRUITY,POWDERY,GREEN,AQUATIC,FLORAL,,,
,,,Red,Roșcat,,http://www.donnabellahair.com/images/products/is16-32.jpg,FRUITY,ALDEHYDE,FLORAL,CITRIC,AQUATIC,SPICY,ORIENTAL,SMOKY,LEATHER,AMBER,,,
,,,Blonde,Blond,,http://www.biyahairelements.co.uk/image/cache/data/s140/10p613/10p613%20(7)-1000x1000.jpg,AQUATIC,FRUITY,FLORAL,POWDERY,GREEN,BALSAMIC,WOODY,MUSK,ORIENTAL,ANIMALIC,,,
,,,,,,,,,,,,,,,,,,,
5,skin-type,Tipul de piele ?,Oily,Uleios,10,http://www.idosclinic.com/wp-content/uploads/2014/05/OilySkin.jpg,HERBACIOUS,FLORAL,AQUATIC,GREEN,TEXTILE,ORIENTAL,SPICY,MUSK,ANIMALIC,AMBER,,,
,,,Mixed,Mixt,,https://scbeautyhigh.files.wordpress.com/2015/04/gut-health-changes-skin.jpg?w=600&h=900,FLORAL,CITRIC,TEA,FRUITY,AMBER,ORIENTAL,SPICY,MOSSY,MINERAL,HERBACIOUS,,,
,,,Dry,Uscat,,https://www.clearskinmd.net/wp-content/uploads/2015/06/DRYSKIN2.jpg,AMBER,SPICY,ORIENTAL,MUSK,ALDEHYDE,AQUATIC,FRUITY,POWDERY,TEA,FLORAL,,,
,,,,,,,,,,,,,,,,,,,
6,spicy,Mâncarea picantă?,Yes,Da,9,http://www.popsci.com/sites/popsci.com/files/styles/medium_1x_/public/import/2013/images/2012/12/chilis.jpg?itok=x2wjzsTE,MUSK,FLORAL,SPICY,AMBER,ORIENTAL,POWDERY,FRUITY,AQUATIC,POWDERY,ALDEHYDE,,,
,,,No,Nu,,http://rxvisual.com/wp-content/uploads/2015/06/No-chili-spicy-food-allowed-hemorrhoids-remedy-treatment-cure-medicine-rxvisual.jpg,FLORAL,FRUITY,POWDERY,CITRIC,HERBACIOUS,ORIENTAL,MUSK,ANIMALIC,SPICY,AMBER,,,
