Question Number,model-question,Question Text,model-answer,Answer Text,Relevance (0-10),Picture URL,Associated Note #1,Associated Note #2,Associated Note #3,Associated Note #4,Associated Note #5,Dissociated Note #1,Dissociated Note #2,Dissociated Note #3,Dissociated Note #4,Dissociated Note #5,"Recommendation of notes types (eg. citric)
( by Fragrantica classifcation)","Recommendation of notes (eg. lemongrass)
(by Fragrantica classification)",Recommendation of Perfumes
1,intention,Care e relația ta cu persoana care va purta parfumul?,Professional,Profesională,,http://ftp.inkermanscreening.com/wp-content/uploads/2014/04/bigstock-Group-of-happy-young-business-38908093.jpg,ORIENTAL,CITRIC,HERBACIOUS,AQUATIC,LEATHER,ORIENTAL,SPICY,AMBER,RESINOUS,,,,
,,,Family,Familială,,http://www.lgrc.us/wp-content/uploads/2014/04/family-silhouette1.png,CITRIC,GREEN,WOODY,ALDEHYDE,FLORAL,AMBER,BALSAMIC,MINERAL,ORIENTAL,SPICY,,,
,,,Romantic,Romantică,,http://www.vamshare.com/wp-content/uploads/2014/06/holding-hands.jpg,SPICY,MUSK,BALSAMIC,GOURMANDY,WOODY,CITRIC,HERBACIOUS,GREEN,AQUATIC,LEATHER,,,
,,,Friends,Amiciție,,http://sev.h-cdn.co/assets/cm/15/09/54ed4594b428e_-_sev-cute-guys-friends-061610-lgn.jpg,,,,,,,,,,,,,
,,,Self-male,E pentru mine,,http://images.inc.com/uploaded_files/image/1940x900/businessman-looking-in-mirror-pan_12170.jpg,,,,,,,,,,,,,
2,price,Care e bugetul aproximativ pentru parfumul căutat?,100,100 RON,11,,,,,,,,,,,,,,
,,,200,200 RON,11,,,,,,,,,,,,,,
,,,400,400 RON,11,,,,,,,,,,,,,,
,,,800,800 RON,11,,,,,,,,,,,,,,
,,,1000,1000 RON sau mai mult,11,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
