Question Number,model-question,Question Text,model-answer,Answer Text,Relevance (0-10),Picture URL,Associated Note #1,Associated Note #2,Associated Note #3,Associated Note #4,Associated Note #5,Dissociated Note #1,Dissociated Note #2,Dissociated Note #3,Dissociated Note #4,Dissociated Note #5,"Recommendation of notes types (eg. citric)
( by Fragrantica classifcation)","Recommendation of notes (eg. lemongrass)
(by Fragrantica classification)",Recommendation of Perfumes
23,gender,Parfumul căutat e pentru un bărbat sau pentru o femeie?,MALE,Bărbat,11,http://icons.iconarchive.com/icons/icons8/ios7/256/Users-User-Male-2-icon.png,,,,,,,,,,,,,
,,,FEMALE,Femeie,11,http://www.iconarchive.com/download/i89173/icons8/ios7/Users-User-Female-2.ico,,,,,,,,,,,,,
24,price,Care e bugetul aproximativ pentru parfumul căutat?,100,100 RON,11,,,,,,,,,,,,,,
,,,200,200 RON,11,,,,,,,,,,,,,,
,,,400,400 RON,11,,,,,,,,,,,,,,
,,,800,800 RON,11,,,,,,,,,,,,,,
,,,1000,1000 RON sau mai mult,11,,,,,,,,,,,,,,
1,skin-complexion,Nuanța pielii?,Dark,Închis,10,,SPICY,WOODY,MUSK,ORIENTAL,,CITRIC,ALDEHYDE,AQUATIC,,,?,"cardamom, rosemary, agarwood, oud, rum, whiskey, tobacco","m:tom ford-tobacco oud, f:christian dior: dolce vita"
,,,Average,Mediu,,,CITRIC,FRUITY,POWDERY,,,MUSK,WOODY,SPICY,,,"Fresh, Fresh-Citrus, Fruit, ","mandarin, citronella, grapefruit, fresh air","m:burberry-the beat, f: bvlgari-mon jasmin noir"
,,,Light,Deschis,,,ALDEHYDE,FRUITY,GOURMANDY,GREEN,,WOODY,MINERAL,ORIENTAL,SPICY,,"Floral-Aldehyde, Fruity,Sweet, Herbal","ylang-ylang, jasmine, sweet vanilla, berries","thierry mugler-alien, m: davidoff-cool water"
2,hair-color,Culoarea naturală a părului?,Brunette-Dark,Brunet,10,http://blog.vpfashion.com/wp-content/themes/blanco/images/color_select/off_black.jpg,SPICY,ORIENTAL,WOODY,MUSK,TOBBACO,POWDERY,CITRIC,GRAIN,AQUATIC,ALDEHYDE,"Spicy, Oriental","sandalwood, black pepper, rose, cardamom, saffron, corriander","f:versace-versence, m: yves saint laurent- la nuit de l`homme"
,,,Brunette-Light,Șaten,,http://blog.vpfashion.com/wp-content/themes/blanco/images/color_select/30A_Light_Cool_Brown.jpg,MUSK,WOODY,EARTHY,AMBER,SPICY,FLORAL,FRUITY,GOURMANDY,CITRIC,,Woody,"alpine, cedar,  vetiver","ralph lauren-polo, f dsquared-she wood"
,,,Red,Roșcat,,http://www.donnabellahair.com/images/products/is16-32.jpg,FRUITY,ALDEHYDE,FLORAL,POWDERY,CITRIC,SPICY,BALSAMIC,MINERAL,WOODY,,Fruit,"madarin, peach, strawberry",
,,,Blonde,Blond,,http://www.biyahairelements.co.uk/image/cache/data/s140/10p613/10p613%20(7)-1000x1000.jpg,FLORAL,ALDEHYDE,POWDERY,CITRIC,GRAIN,SMOKY,WOODY,MINERAL,RESINOUS,SYNTHETIC,Floral,"iris, ylang ylang, lilly of the valley",
3,skin-type,Tip de piele?,Oily,Uleios,10,http://www.idosclinic.com/wp-content/uploads/2014/05/OilySkin.jpg,SPICY,WOODY,LEATHER,TOBBACO,RESINOUS,ALDEHYDE,AQUATIC,CITRIC,FLORAL,POWDERY,"Spicy,Wood, Natural(Leather/Fourragere)","ginger, cinnamon, white-musk",
,,,Mixed,Mixt,,https://scbeautyhigh.files.wordpress.com/2015/04/gut-health-changes-skin.jpg?w=600&h=900,FLORAL,HERBACIOUS,FRUITY,GREEN,ALDEHYDE,WOODY,SPICY,MINERAL,RESINOUS,SYNTHETIC,"Floral, Herbal, ","peppermint, greentea, pine-forest",
,,,Dry,Uscat,,https://www.clearskinmd.net/wp-content/uploads/2015/06/DRYSKIN2.jpg,FLORAL,FRUITY,GOURMANDY,POWDERY,ALDEHYDE,MUSK,ANIMALIC,SPICY,WOODY,,"Sweet, Citrus, Fruit, Floral","watermelon, bergamot, lemongrass, orange clove",
4,sweat,Tip de transpirație?,Consistent,Consistentă,10,,WOODY,HERBACIOUS,GREEN,TEA,,GOURMANDY,FRUITY,FLORAL,,,"Wood, Musk, Herbal","eucalyptus, sandalwood, hemp",
,,,Watery,Apoasă,,,CITRIC,FRUITY,FLORAL,,,WOODY,HERBACIOUS,GREEN,,,"Citrus,Fruit, ","citronella, blackberry, mango",
5,spicy,Îi place mâncarea picantă?,Yes,Da,9,http://www.popsci.com/sites/popsci.com/files/styles/medium_1x_/public/import/2013/images/2012/12/chilis.jpg?itok=x2wjzsTE,SPICY,WOODY,RESINOUS,BEVERAGES,MUSK,ALDEHYDE,POWDERY,CITRIC,FLORAL,AQUATIC,"Spicy, Wood, Musk, Resin, beverage","rum, tobacco,ginger, cardamom",
,,,No,Nu,,http://rxvisual.com/wp-content/uploads/2015/06/No-chili-spicy-food-allowed-hemorrhoids-remedy-treatment-cure-medicine-rxvisual.jpg,CITRIC,FLORAL,FRUITY,ALDEHYDE,GREEN,ANIMALIC,MUSK,BEVERAGES,SPICY,ORIENTAL,"Citrus, Fruit, Fresh, Floral","chamomile, cashmere, vanilla",
6,diet,Dietă?,omnivore,Omnivor,9,http://tinygreenmom.com/wp-content/uploads/2012/04/Grilled-Vegetable-and-Beef-Skewers.jpg,SPICY,WOODY,MUSK,FLORAL,FRUITY,AQUATIC,BALSAMIC,TEXTILE,,,"Spicy, Wood, Musk, Floral, Fruit, Sweet","black-pepper, sandalwood, ginger, ylang-ylang, orange, sugar",
,,,vegan,Vegan,,https://s3.amazonaws.com/cdn.atlaswearables.com/blog_banners/slide_1.jpg,FLORAL,POWDERY,ALDEHYDE,FRUITY,,MUSK,SPICY,ORIENTAL,ANIMALIC,,"Floral,Fruit,Sweet","milk and honey, shea",
7,age-group,Vârstă,18-35,18-35,10,,POWDERY,FRUITY,WOODY,CITRIC,,WOODY,ORIENTAL,FLORAL,SPICY,,"f: Floral(poudree), fruity, Sweet/m:Citrus, Fresh, Wood","f:magnolia, lavender, rose blossom, dandelion/m:tangerine,patchouli",
